age,gender,screen_time_hours,sleep_hours,distance_travelled_km,places_visited,exercise_minutes,work_hours,social_score,caffeine_mg,step_count,study_hours,phone_usage_type,screen_to_sleep_ratio,movement_intensity,stress_score,stress_level,random_noise_feature
25,Other,5.1,6.4,5.8,9,15,11,3,275,11553,1.9,social,0.797,0.644,56.2,medium,703.0604
39,Male,8.6,9.0,10.1,5,100,4,7,252,1383,3.2,social,0.956,2.02,31.4,low,581.686
25,Female,9.0,5.7,6.9,8,26,11,2,79,13264,5.9,gaming,1.579,0.862,69.0,medium,849.8378
18,Male,4.0,4.3,10.5,4,14,11,5,401,12006,3.4,mixed,0.93,2.625,60.3,medium,202.1969
55,Other,5.9,4.4,5.4,1,31,6,3,317,11806,1.3,social,1.341,5.4,59.4,medium,524.3276
20,Female,4.4,8.3,13.9,4,104,9,8,333,5122,3.6,mixed,0.53,3.475,13.3,low,716.085
42,Female,4.4,4.8,13.1,7,31,11,3,173,14291,5.5,study,0.917,1.871,52.7,medium,386.9769
33,Male,2.1,6.3,11.4,3,95,7,5,347,12202,3.6,mixed,0.333,3.8,22.4,low,603.5755
25,Male,6.3,6.9,7.8,9,98,8,2,280,2376,1.5,social,0.913,0.867,32.0,low,126.0182
54,Male,3.1,5.9,5.1,8,85,11,7,446,13255,2.2,mixed,0.525,0.638,40.2,medium,714.0076
39,Female,9.3,4.6,4.4,5,22,10,2,240,12929,5.3,gaming,2.022,0.88,79.5,high,449.4009
26,Male,8.1,4.4,13.0,2,5,5,9,208,13847,0.2,gaming,1.841,6.5,65.3,medium,139.2345
56,Female,2.7,4.1,13.6,7,114,4,8,102,13125,4.5,study,0.659,1.943,26.9,low,636.1999
56,Female,2.5,4.9,14.7,4,58,10,5,66,5392,2.2,mixed,0.51,3.675,37.6,low,701.386
55,Male,4.5,6.2,2.4,9,14,10,2,43,1022,1.0,mixed,0.726,0.267,57.6,medium,537.0853
44,Male,2.1,6.8,12.1,7,109,10,1,42,10530,5.9,study,0.309,1.729,27.4,low,770.5089
23,Male,3.7,7.8,9.3,8,61,10,3,491,7443,5.1,study,0.474,1.162,38.7,low,728.4176
46,Female,4.7,1.0,6.8,8,8,7,7,16,4331,0.5,mixed,0.603,0.85,41.9,medium,33.6898
42,Male,3.6,8.0,9.6,4,107,7,6,208,4110,3.3,mixed,0.45,2.4,21.5,low,244.7811
36,Female,3.7,5.7,4.2,7,56,4,3,281,2294,2.8,mixed,0.649,0.6,25.5,low,582.8979
45,Female,6.2,4.8,13.3,6,115,8,9,281,3812,5.2,mixed,1.292,2.217,21.2,low,901.4222
39,Other,3.0,,8.2,4,25,7,3,153,4424,1.9,study,0.462,2.05,43.6,medium,749.5114
53,Male,8.6,4.5,6.5,2,36,11,2,149,13686,2.4,gaming,1.911,3.25,75.5,high,398.8782
22,Male,8.4,8.4,4.1,3,31,11,2,460,8713,4.7,gaming,1.0,1.367,67.4,medium,348.5496
27,Male,4.1,6.4,13.0,5,32,4,8,240,1363,1.6,mixed,0.641,2.6,29.0,low,180.075
56,Female,6.9,8.8,8.0,5,7,8,3,344,3971,4.3,study,0.784,1.6,48.5,medium,603.0177
29,Female,9.5,6.6,4.4,5,97,9,4,275,7565,4.3,mixed,1.439,0.88,47.7,medium,261.8171
42,Other,8.0,7.2,,2,9,10,7,485,4860,0.6,study,1.111,0.35,59.6,medium,44.9686
40,Male,2.9,6.9,8.2,3,35,9,2,167,9788,4.2,study,0.42,2.733,42.8,medium,828.6104
52,Male,6.4,6.7,4.3,3,66,10,5,112,2826,0.4,social,0.955,1.433,38.4,low,334.9368
20,Male,8.1,,12.0,2,13,6,2,238,2084,3.5,gaming,1.11,6.0,48.5,medium,768.9962
21,Female,4.8,4.0,1.7,8,90,10,7,432,14016,3.5,mixed,1.2,0.212,53.6,medium,115.5791
53,Female,9.6,9.0,11.9,1,3,7,8,343,6182,3.6,gaming,1.067,11.9,47.5,medium,714.4597
30,Male,3.4,5.3,5.0,9,79,4,8,397,13391,2.1,social,0.642,0.556,37.2,low,839.0366
52,Female,2.7,4.1,10.0,8,87,4,2,465,9803,4.0,mixed,0.659,1.25,44.9,medium,121.4123
26,Male,9.6,8.6,1.2,9,0,5,8,339,2926,2.3,gaming,1.116,0.133,79.1,high,245.7473
40,Female,2.9,5.6,8.2,8,25,11,2,88,8321,0.8,gaming,0.518,1.025,74.0,high,780.7462
22,Female,6.6,5.2,3.5,2,81,5,4,220,3355,2.0,social,1.269,1.75,47.0,medium,314.3087
57,Female,3.5,6.4,12.9,4,28,8,8,96,14627,3.8,mixed,0.547,3.225,29.9,low,573.3641
19,Male,,4.9,3.7,3,73,11,5,374,6022,3.2,mixed,0.959,1.233,66.1,medium,369.7564
58,Female,4.3,6.5,13.2,9,109,11,1,25,3030,2.0,mixed,0.662,1.467,29.7,low,683.479
43,Female,5.9,4.6,1.6,9,65,11,1,138,11144,0.8,social,1.283,0.178,65.0,medium,277.5165
56,Male,5.2,4.7,0.8,7,66,7,7,497,3978,0.9,social,1.106,0.114,61.6,medium,677.0479
38,Male,,4.5,4.5,6,13,11,7,153,12074,1.4,social,1.244,0.75,65.3,medium,375.3459
20,Other,2.8,7.6,5.1,4,115,10,2,419,6761,3.4,mixed,0.368,1.275,35.5,low,548.1002
36,Male,7.1,5.0,1.3,9,76,6,7,102,14811,1.1,social,1.42,0.144,48.8,medium,754.7421
40,Female,2.4,8.2,11.2,7,0,11,7,471,8445,2.2,mixed,0.293,1.6,43.3,medium,521.2464
52,Male,6.4,5.7,5.3,7,59,10,9,94,4223,2.7,social,1.123,0.757,42.0,medium,299.4271
26,Female,7.0,5.2,9.2,1,32,6,2,281,3590,2.6,social,1.346,9.2,52.3,medium,397.0919
55,Male,7.8,6.8,11.9,4,112,8,9,489,13017,6.0,gaming,1.147,2.975,20.6,low,904.8067
44,Male,5.9,7.6,6.3,5,24,8,8,175,9949,4.4,mixed,0.776,1.26,40.6,medium,846.3042
27,Female,4.4,4.7,4.7,5,71,6,3,492,10156,1.7,mixed,0.936,0.94,64.8,medium,910.4685
32,Male,4.8,8.2,9.4,4,33,4,8,401,12439,4.8,mixed,0.585,2.35,34.2,low,449.0574
26,Female,8.7,8.1,2.6,7,14,8,2,220,8173,1.9,gaming,1.074,0.371,77.4,high,787.9674
51,Female,3.9,5.9,7.7,2,106,10,3,227,7838,5.8,study,0.661,3.85,32.9,low,997.5765
40,Female,5.5,6.7,12.1,3,25,7,3,27,5418,0.0,social,0.821,4.033,37.8,low,479.6929
59,Female,4.8,6.0,6.6,2,38,11,7,17,6729,0.2,mixed,0.8,3.3,46.6,medium,633.5187
46,Male,3.4,6.9,11.4,3,79,6,3,220,9777,5.8,study,0.493,3.8,28.0,low,443.1743
18,Female,3.7,0.5,2.8,2,11,4,5,491,10257,2.3,mixed,0.457,1.4,64.5,medium,838.9994
52,Male,2.0,5.1,5.8,1,37,11,4,167,9075,0.2,mixed,0.392,5.8,72.5,high,318.7394
56,Female,5.4,5.6,6.2,9,107,10,3,379,12333,2.7,study,0.964,0.689,37.4,low,875.1798
32,Female,4.5,5.8,,3,4,4,7,239,5691,4.3,study,0.776,2.533,42.3,medium,351.527
49,Male,6.3,5.4,10.8,2,52,7,4,72,8854,3.0,social,1.167,5.4,39.1,low,981.2568
35,Female,6.4,7.1,14.0,6,67,5,4,56,4996,4.6,study,0.901,2.333,26.9,low,378.8272
20,Male,9.3,7.3,11.1,5,26,4,9,71,5881,5.5,mixed,1.274,2.22,45.1,medium,263.5445
24,Male,8.4,6.4,10.4,1,100,5,4,464,14750,4.3,gaming,1.312,10.4,33.7,low,314.6107
25,Female,4.8,8.8,1.6,9,18,6,6,187,11130,2.9,mixed,0.545,0.178,48.8,medium,397.6121
51,Female,,5.6,7.8,8,43,10,5,49,6779,2.1,gaming,1.482,0.975,52.6,medium,891.327
36,Female,6.8,7.9,12.9,2,53,7,4,215,9106,4.6,study,0.861,6.45,33.0,low,444.5954
28,Female,5.1,8.3,1.1,6,103,4,4,82,9861,4.6,study,0.614,0.183,34.6,low,589.7872
47,Female,3.3,8.4,12.4,2,96,8,6,291,8732,0.8,social,0.393,6.2,19.5,low,753.2004
48,Male,8.5,8.5,12.3,8,21,10,2,139,10416,4.3,gaming,1.0,1.538,53.4,medium,502.3167
57,Male,6.3,8.7,6.2,7,106,6,2,173,9392,2.3,social,0.724,0.886,32.8,low,130.6243
28,Male,4.9,5.9,0.5,9,101,9,1,5,11491,3.0,mixed,0.831,0.056,39.4,low,167.8887
52,Female,10.0,6.9,9.1,3,30,6,1,215,2232,2.9,gaming,1.449,3.033,59.6,medium,977.321
33,Male,8.2,7.5,5.4,5,75,6,8,440,3905,0.9,gaming,1.093,1.08,40.6,medium,488.1622
46,Female,9.8,8.0,9.2,5,36,8,7,37,14820,1.2,mixed,1.225,1.84,50.3,medium,260.9854
32,Female,7.0,6.2,6.4,5,69,11,3,219,9763,5.5,study,1.129,1.28,49.5,medium,541.3241
27,Female,8.5,4.3,8.3,2,90,5,9,187,6877,4.6,gaming,1.977,4.15,46.8,medium,770.1982
33,Female,4.6,8.7,6.8,4,57,5,5,201,12345,3.8,mixed,0.529,1.7,36.9,low,389.8931
19,Male,4.8,8.9,12.9,8,114,5,1,478,14679,4.9,study,0.539,1.612,21.1,low,819.5112
41,Female,5.2,5.3,7.9,2,36,4,6,165,1106,4.8,study,0.981,3.95,43.8,medium,442.7641
40,Male,6.4,7.2,7.8,5,32,6,4,281,10099,4.2,study,0.889,1.56,43.2,medium,313.149
29,Male,9.8,8.7,2.9,2,88,9,6,440,14668,3.3,gaming,1.126,1.45,86.1,high,188.0373
18,Male,4.1,5.9,12.3,3,66,8,7,319,10781,2.6,mixed,0.695,4.1,25.2,low,235.7131
35,Female,3.1,8.5,4.3,3,86,5,2,57,11683,3.0,mixed,0.365,1.433,38.4,low,681.1378
39,Female,2.6,5.7,,3,6,5,8,62,8369,2.4,mixed,0.456,1.8,45.2,medium,530.1038
20,Male,9.2,7.0,9.1,6,96,4,6,261,7579,0.2,gaming,1.314,1.517,37.2,low,410.9984
39,Female,3.7,8.3,12.9,2,85,8,8,257,8507,3.1,mixed,0.446,6.45,18.5,low,820.7986
45,Female,4.9,8.1,0.5,3,60,6,8,449,2522,0.7,mixed,0.605,0.167,38.4,low,242.8493
22,Female,9.5,7.0,6.1,3,27,10,4,64,9616,2.7,social,1.357,2.033,74.3,high,281.0207
47,Female,6.6,15.0,14.1,3,55,9,9,116,9951,4.5,study,1.2,4.7,19.2,low,211.8491
20,Male,9.5,7.8,13.0,9,77,8,8,292,10551,5.7,gaming,1.218,1.444,34.0,low,883.0356
53,Male,4.5,4.5,2.4,8,23,11,4,179,7913,3.5,mixed,1.0,0.3,84.7,high,10.5918
37,Female,2.1,4.9,2.4,7,114,10,9,355,3215,3.2,mixed,0.429,0.343,39.2,low,176.375
37,Male,4.6,7.1,11.7,5,65,10,4,427,11495,3.5,mixed,0.648,2.34,29.6,low,246.529
41,Male,6.3,5.4,1.7,6,72,8,2,36,6983,0.5,social,1.167,0.283,49.2,medium,106.2248
18,Male,8.0,7.6,2.7,1,3,4,1,74,14044,2.8,study,1.053,2.7,62.8,medium,904.1443
34,Female,5.4,7.8,2.0,6,107,9,2,386,1115,1.2,social,0.692,0.333,5.0,low,849.6588
44,Female,,5.0,8.9,6,88,7,8,307,9497,0.5,social,1.1,1.483,31.9,low,605.7374
32,Male,6.6,8.7,6.4,3,68,5,8,258,7136,0.0,social,0.759,2.133,34.1,low,877.8402
49,Male,4.2,,0.6,3,38,6,7,413,2289,5.6,study,0.575,0.2,44.0,medium,291.2401
52,Male,7.9,7.6,8.1,7,95,11,9,32,6599,4.9,social,1.039,1.157,38.2,low,211.5231
51,Male,5.6,4.0,8.9,3,87,9,5,456,13915,0.4,social,1.4,2.967,36.4,low,813.9257
51,Female,,8.9,4.4,4,5,9,7,392,6101,2.7,gaming,1.09,1.1,71.9,high,6.971
24,Female,7.2,6.8,4.6,3,96,8,7,282,6385,1.3,social,1.059,1.533,34.8,low,555.0249
46,Female,7.7,,1.7,5,25,5,5,13,9334,1.6,social,1.262,0.34,55.8,medium,978.9086
46,Male,6.9,8.4,13.4,3,102,9,4,459,11179,0.5,social,0.821,4.467,22.8,low,407.0297
46,Female,6.4,4.4,8.3,6,103,6,8,261,1854,4.4,study,1.455,1.383,36.2,low,696.1426
36,Female,8.2,8.2,12.1,8,80,4,1,329,4533,0.0,gaming,1.0,1.512,37.9,low,867.0383
53,Female,9.7,6.5,3.4,8,52,4,6,397,3576,2.4,gaming,1.492,0.425,56.6,medium,80.8982
23,Male,6.7,5.3,2.3,8,79,7,2,49,14220,1.4,social,1.264,0.288,50.2,medium,483.8968
45,Female,2.5,7.8,14.4,3,58,8,6,60,4415,5.8,study,0.321,4.8,24.1,low,844.0848
39,Male,7.3,8.1,5.7,4,78,9,8,185,7306,0.3,social,0.901,1.425,35.9,low,557.438
22,Female,7.5,1.0,,2,62,8,3,265,9117,1.1,social,1.596,4.0,52.9,medium,587.3438
34,Female,4.3,6.4,50.0,2,68,11,9,185,4420,4.5,study,0.672,0.85,43.6,medium,412.3445
21,Female,6.6,,13.5,5,6,6,6,102,1712,4.5,study,0.846,2.7,35.4,low,338.1127
50,Female,2.5,8.4,13.3,9,24,4,9,179,11055,3.1,social,0.298,1.478,28.9,low,356.8036
44,Female,8.5,6.4,6.5,2,100,7,2,328,13436,5.6,gaming,1.328,3.25,42.4,medium,606.0156
27,Male,8.0,4.1,6.9,9,111,11,8,446,12396,3.9,social,1.951,0.767,73.0,high,931.5515
23,Male,9.1,4.6,13.4,7,5,4,4,130,7165,2.9,gaming,1.978,1.914,59.2,medium,905.572
39,Male,2.6,6.2,3.4,2,12,8,8,69,3598,2.6,mixed,0.419,1.7,45.8,medium,129.9017
51,Male,8.5,5.4,7.3,4,58,5,5,153,7744,5.8,gaming,1.574,1.825,61.9,medium,146.1271
20,Female,20.0,5.4,4.0,2,4,7,9,365,12862,5.4,study,1.204,2.0,50.5,medium,610.8446
23,Female,6.5,7.8,11.6,6,48,9,7,463,13501,1.2,social,0.833,1.933,31.1,low,839.219
36,Female,3.5,7.2,4.3,4,16,9,3,308,3608,0.4,mixed,0.486,1.075,50.4,medium,710.309
20,Female,8.7,6.9,3.4,7,9,10,4,448,10843,4.8,gaming,1.261,0.486,65.4,medium,898.087
26,Male,8.5,6.4,5.4,2,82,5,7,246,10610,3.7,gaming,1.328,2.7,41.6,medium,908.265
45,Female,9.9,5.9,7.8,8,115,9,4,181,1193,1.1,gaming,1.678,0.975,41.4,medium,24.1752
34,Female,6.9,4.7,14.7,6,28,11,8,377,6957,2.4,social,1.468,2.45,49.3,medium,919.7439
28,Male,8.3,8.6,11.3,7,62,8,1,184,3587,2.4,social,0.965,1.614,43.1,medium,560.1927
19,Female,5.2,5.1,12.7,2,76,10,1,465,2355,5.4,study,1.02,6.35,40.2,medium,820.4764
42,Female,3.4,5.2,5.7,8,1,9,4,489,4963,1.1,mixed,0.654,0.712,53.5,medium,90.3281
57,Female,6.8,5.0,6.7,3,99,6,7,55,3083,3.3,social,1.36,2.233,37.5,low,770.5968
34,Male,5.6,4.3,7.6,1,74,9,2,22,14136,0.3,social,1.302,7.6,39.1,low,859.013
41,Female,2.8,8.7,6.4,1,55,9,2,53,7277,4.3,study,0.322,6.4,41.5,medium,267.4314
40,Male,6.7,8.7,6.6,6,119,4,1,334,11937,0.1,social,0.77,1.1,32.4,low,601.0218
52,Female,7.3,4.1,5.3,5,5,5,5,4,12907,0.9,social,1.78,1.06,67.0,medium,346.5473
24,Male,7.7,7.8,8.6,9,2,9,5,131,3352,5.7,study,0.987,0.956,48.4,medium,519.0376
43,Female,3.8,8.7,12.8,9,86,4,8,425,11015,0.4,mixed,0.437,1.422,18.5,low,993.0473
46,Female,3.8,4.4,13.5,2,111,10,4,304,14913,4.9,study,0.864,6.75,34.0,low,209.9111
33,Male,9.2,5.2,9.8,7,118,8,9,430,6363,0.5,study,1.769,1.4,34.6,low,22.3844
47,Female,,7.0,1.7,5,56,4,7,177,7783,2.2,mixed,0.671,0.34,40.4,medium,881.362
41,Female,2.6,7.1,5.2,4,20,9,3,416,4868,0.8,mixed,0.366,1.3,49.1,medium,236.1944
24,Male,8.2,8.5,0.9,9,111,7,3,405,5090,2.3,study,0.965,0.1,35.1,low,325.8262
32,Female,7.3,8.2,12.3,2,20,10,3,328,4824,4.5,study,0.89,6.15,47.6,medium,51.7299
26,Female,5.2,4.2,6.5,1,85,6,7,1,2683,4.1,study,1.238,6.5,43.8,medium,918.1561
28,Female,20.0,7.4,9.7,9,69,5,9,481,4173,1.1,social,0.784,1.078,25.4,low,264.4545
25,Female,7.9,7.9,0.5,1,45,7,9,36,1187,4.0,social,1.0,0.5,47.8,medium,650.3027
55,Female,6.4,7.3,5.2,8,40,8,7,418,9718,4.4,study,0.877,0.65,41.9,medium,229.5166
27,Male,3.5,4.7,2.8,9,24,6,9,196,1648,5.4,study,0.745,0.311,54.8,medium,62.6514
43,Male,3.5,6.5,3.7,1,54,10,9,254,5862,2.9,mixed,0.538,3.7,41.4,medium,482.6806
28,Female,5.4,6.4,1.5,4,74,11,3,105,4734,3.5,social,0.844,0.375,49.6,medium,320.8893
32,Male,4.2,4.2,8.9,7,49,11,8,75,14170,2.3,mixed,1.0,1.271,65.1,medium,353.0183
18,Female,4.7,6.5,3.5,5,73,6,2,206,9874,5.1,study,0.723,0.7,42.2,medium,373.1332
53,Female,4.3,5.6,10.1,2,30,7,3,126,13374,0.2,mixed,0.768,5.05,43.0,medium,318.8349
59,Male,8.3,4.6,35.0,3,11,4,1,207,10364,0.4,gaming,1.804,1.433,73.2,high,373.9683
39,Female,2.7,5.8,12.9,8,28,10,3,128,9412,5.0,study,0.466,1.612,41.5,medium,170.0824
59,Male,6.6,8.9,13.5,2,16,10,6,280,12522,0.9,social,0.742,6.75,39.4,low,922.9933
19,Male,7.8,8.7,4.2,2,31,8,8,275,12130,3.6,gaming,0.897,2.1,49.6,medium,699.6734
46,Male,3.9,8.9,11.7,4,4,9,9,441,4970,5.3,study,0.438,2.925,32.2,low,984.2468
42,Female,3.0,7.7,5.3,5,21,7,5,205,8466,4.2,study,0.39,1.06,46.3,medium,714.0733
27,Female,7.3,7.6,4.6,7,0,7,1,323,5954,2.0,social,0.961,0.657,57.6,medium,122.3395
34,Female,2.5,4.5,5.8,9,101,7,1,87,7586,3.3,mixed,0.556,0.644,46.4,medium,315.7288
35,Female,8.0,6.4,10.8,3,14,11,5,274,10705,5.1,study,1.25,3.6,95.0,high,696.7233
46,Male,3.2,4.4,9.8,5,112,5,1,308,6599,4.6,study,0.727,1.96,39.0,low,938.7308
23,Male,5.2,8.6,11.3,7,48,9,3,53,10487,4.1,study,0.605,1.614,34.3,low,889.6325
56,Female,9.9,7.2,11.3,2,62,7,2,52,5846,0.8,gaming,1.375,5.65,48.3,medium,615.1216
28,Male,3.9,8.7,2.2,3,106,6,1,385,7287,1.4,mixed,0.448,0.733,37.6,low,766.3666
19,Female,2.7,5.1,11.4,6,24,6,3,337,3324,4.5,study,0.529,1.9,46.2,medium,254.0846
30,Female,7.4,6.5,2.3,9,5,11,8,365,14937,2.6,social,1.138,0.256,60.0,medium,771.9737
45,Female,5.1,8.6,5.0,1,45,11,2,30,14747,3.5,social,0.593,5.0,53.6,medium,452.735
41,Male,3.8,8.6,,1,15,11,8,134,14308,2.3,mixed,0.442,8.7,33.1,low,514.7253
18,Female,5.4,7.7,3.5,2,29,7,9,428,7703,3.3,social,0.701,1.75,42.7,medium,454.9457
29,Female,2.0,7.9,9.8,6,85,10,6,61,7405,1.2,mixed,0.253,1.633,29.6,low,14.8968
51,Male,,4.9,9.2,1,99,11,2,355,14887,5.9,study,1.571,9.2,65.8,medium,666.1157
19,Male,6.9,7.0,1.9,9,52,10,6,112,6053,2.0,social,0.986,0.211,50.0,medium,562.5521
33,Female,9.4,,9.3,8,15,11,1,110,2825,4.6,social,1.774,1.162,72.5,high,846.8202
45,Female,8.5,4.9,11.1,8,37,5,8,217,9721,5.7,gaming,1.735,1.388,49.6,medium,554.9471
52,Female,3.2,5.4,10.5,3,59,10,6,312,4796,4.8,study,0.593,3.5,38.5,low,165.9802
52,Male,4.5,5.3,2.5,8,61,11,9,104,6587,2.2,mixed,0.849,0.312,50.6,medium,405.6476
53,Female,3.6,8.5,0.8,8,36,10,9,38,2041,1.5,mixed,0.424,0.1,46.0,medium,969.6626
44,Male,3.5,5.2,1.0,9,41,9,9,385,2687,0.6,mixed,0.673,0.111,47.4,medium,816.0915
54,Male,2.1,7.0,13.2,3,67,10,6,280,3226,3.7,mixed,0.3,4.4,28.1,low,929.789
24,Male,4.3,8.0,,2,102,8,1,53,9700,0.5,mixed,0.538,5.55,26.2,low,833.284
30,Male,4.3,8.8,7.0,4,61,6,7,3,4558,3.7,mixed,0.489,1.75,33.4,low,12.8133
56,Female,2.2,7.2,1.9,7,40,11,4,289,3047,1.0,mixed,0.306,0.271,94.0,high,511.503
21,Male,2.6,5.9,10.6,5,106,10,7,308,12220,3.0,mixed,0.441,2.12,23.8,low,77.2243
29,Male,5.3,,7.1,3,3,10,5,30,12137,1.2,gaming,0.791,2.367,47.9,medium,74.5524
31,Male,6.6,5.6,3.1,8,28,4,5,38,11719,0.2,social,1.179,0.388,53.9,medium,305.2677
19,Female,6.0,,7.2,2,91,7,4,281,10800,4.1,study,0.845,3.6,30.7,low,182.8221
54,Male,8.6,8.0,7.8,7,9,4,1,263,7666,5.8,gaming,1.075,1.114,58.0,medium,297.3352
39,Female,5.6,8.0,9.2,5,9,10,8,332,11687,1.3,social,0.7,1.84,41.1,medium,577.5322
46,Female,5.8,6.2,10.9,1,49,5,6,311,9242,5.8,mixed,0.935,10.9,31.2,low,773.5614
18,Male,2.2,5.5,10.3,4,1,4,6,61,14723,2.1,gaming,0.4,2.575,41.8,medium,1.0161
36,Female,7.8,5.5,13.3,7,54,6,1,435,10832,0.2,social,1.418,1.9,12.6,low,337.0368
40,Female,7.8,5.9,15.0,5,20,7,1,187,10755,5.6,study,1.322,3.0,44.8,medium,618.2208
24,Male,7.1,8.6,6.2,5,74,4,7,160,11065,1.3,social,0.826,1.24,36.4,low,949.6475
51,Female,4.4,8.7,1.8,6,118,7,5,278,7107,1.0,study,0.506,0.3,30.4,low,500.1472
20,Male,6.0,4.4,2.7,3,22,6,2,184,7809,5.4,study,1.364,0.9,66.0,medium,650.6117
46,Male,2.3,8.0,12.7,4,112,5,1,283,9294,1.1,mixed,0.288,3.175,44.4,medium,404.5544
27,Male,4.2,6.8,4.1,8,7,5,2,335,2606,4.1,study,0.618,0.512,67.6,medium,355.5499
28,Male,8.6,6.0,6.4,4,79,6,8,36,12392,0.5,gaming,1.433,1.6,19.7,low,480.7108
26,Male,,7.1,3.6,6,55,8,5,273,12394,2.2,mixed,0.451,0.6,33.8,low,331.8887
32,Male,4.5,4.0,11.9,1,89,4,9,209,6889,1.2,mixed,1.125,11.9,34.1,low,794.9753
20,Female,8.4,,,1,14,4,5,248,2405,0.9,gaming,1.2,2.4,59.6,medium,219.9228
23,Female,6.6,4.1,10.1,6,85,8,4,461,4348,4.1,study,1.61,1.683,45.1,medium,280.8337
30,Male,5.8,6.8,5.2,7,8,5,2,188,14182,5.9,study,0.853,0.743,50.3,medium,791.3008
56,Male,2.2,,13.1,5,77,4,5,72,4323,1.8,mixed,0.512,2.62,45.0,medium,427.5942
18,Other,6.4,8.0,12.7,9,48,7,8,334,4636,0.5,social,0.8,1.411,27.9,low,93.4869
59,Female,7.9,6.1,13.0,7,21,6,8,496,13313,4.6,study,1.295,1.857,38.8,low,319.1367
26,Male,7.4,4.5,13.0,7,21,10,9,274,12047,3.2,social,1.644,1.857,51.6,medium,523.1464
31,Male,3.8,6.9,6.3,9,72,10,6,404,14079,1.4,social,0.551,0.7,37.5,low,172.1935
40,Female,9.0,7.7,,9,74,6,7,301,12062,4.9,gaming,1.169,1.033,39.4,low,219.872
43,Male,3.2,,8.1,6,38,10,4,15,12041,4.2,study,0.395,1.35,66.0,medium,18.9355
34,Male,4.9,6.2,6.0,4,66,4,1,185,4395,4.4,study,0.79,1.5,41.1,medium,76.6688
36,Female,4.9,7.0,6.0,8,6,9,1,317,5599,3.1,mixed,0.7,0.75,50.3,medium,440.2265
51,Male,3.6,8.1,10.9,1,25,8,9,139,12825,0.3,mixed,0.444,10.9,32.4,low,622.8209
38,Male,,4.6,14.0,7,119,4,1,13,7602,3.0,social,1.283,2.0,29.7,low,117.6539
54,Female,5.8,5.9,4.6,4,50,11,4,229,5550,1.5,social,0.983,1.15,51.6,medium,57.4649
20,Male,5.2,8.5,13.5,5,4,6,8,248,7501,5.9,study,0.612,2.7,30.6,low,527.968
50,Male,9.2,7.6,13.9,7,115,11,4,0,4464,3.1,gaming,1.211,1.986,36.6,low,484.5459
45,Male,3.9,4.4,4.7,4,14,4,1,79,7950,5.5,study,0.886,1.175,65.0,medium,688.4261
29,Male,2.1,8.2,3.8,5,102,9,5,182,3415,4.0,mixed,0.256,0.76,65.8,medium,909.6082
45,Female,9.4,,11.3,1,13,6,5,393,4477,1.9,gaming,1.446,11.3,64.9,medium,309.0393
18,Female,6.4,7.7,2.3,6,22,7,5,470,6408,3.1,social,0.831,0.383,51.2,medium,908.9709
40,Female,3.4,5.7,11.7,2,53,8,4,167,12305,4.8,study,0.596,5.85,34.0,low,786.967
55,Female,8.2,4.2,9.0,6,11,5,6,488,2192,4.9,gaming,1.952,1.5,75.3,high,450.6688
26,Female,6.8,4.1,4.8,8,87,8,5,448,5211,1.3,social,1.659,0.6,52.3,medium,557.2212
24,Male,8.2,8.2,13.9,6,60,11,2,56,8962,1.9,gaming,1.0,2.317,46.0,medium,652.0127
30,Male,6.7,6.8,3.9,2,75,9,7,143,2350,1.6,social,0.985,1.95,38.0,low,63.2579
40,Female,3.0,4.2,11.6,9,23,11,5,8,11664,4.4,study,0.714,1.289,58.6,medium,700.1616
31,Male,8.5,8.8,5.6,5,64,10,3,96,13872,3.3,gaming,0.966,1.12,65.9,medium,161.7579
56,Male,3.9,7.0,9.1,6,43,8,9,380,11942,2.0,mixed,0.557,1.517,31.4,low,407.6925
28,Other,9.0,8.3,6.9,3,28,5,3,8,2634,5.5,gaming,1.084,2.3,56.9,medium,595.6339
30,Male,7.9,6.8,14.7,6,25,5,1,430,9987,2.5,social,1.162,2.45,43.9,medium,518.8121
44,Male,3.1,,9.5,4,34,6,8,227,12589,2.1,mixed,0.534,2.375,24.4,low,90.1373
31,Female,5.9,,10.9,2,103,4,1,445,7073,0.2,social,0.663,5.45,26.3,low,351.9842
29,Female,3.8,8.9,5.4,8,104,10,2,37,8125,0.8,mixed,0.427,0.675,37.2,low,969.4772
38,Female,9.9,7.4,9.5,7,18,11,8,393,8507,2.5,gaming,1.338,1.357,76.4,high,330.5602
36,Male,6.1,4.4,1.1,5,57,10,7,300,9106,3.4,social,1.386,0.22,71.9,high,738.4969
43,Male,6.4,7.4,0.7,1,37,11,4,478,9767,1.1,gaming,0.865,0.7,57.4,medium,33.029
56,Male,9.3,7.1,9.8,6,110,11,2,433,10467,0.4,gaming,1.31,1.633,46.6,medium,289.7233
53,Other,7.1,6.9,13.4,8,72,5,8,401,1234,5.0,study,1.029,1.675,24.8,low,927.6836
26,Female,6.0,4.5,9.5,5,21,5,4,490,2025,3.2,social,1.333,1.9,53.2,medium,721.7907
38,Male,2.6,7.8,6.6,8,116,10,6,399,9401,0.3,mixed,0.333,0.825,28.2,low,228.3537
33,Female,3.6,6.5,4.2,4,39,7,3,210,2093,5.2,study,0.554,1.05,46.8,medium,538.3467
